
2019-04-28 15:35:03 : کد نماد			
2019-04-28 15:35:03 : IRB5IKCO8751	اوراق مشاركت ايران‌ خودرو		18719101
2019-04-28 15:35:04 : IRR1KPRS0101	ح . كاشي‌ پارس‌		كپارسح
2019-04-28 15:35:04 : IRO1PSIR0001	پشم‌شيشه‌ايران‌		كپشير
2019-04-28 15:35:04 : IRR1PSIR0101	ح . پشم‌شيشه‌ايران‌		كپشيرح
2019-04-28 15:35:04 : IRO1TKSM0001	توليدي‌ كاشي‌ تكسرام‌		كترام
2019-04-28 15:35:04 : IRR1TKSM0101	ح . توليدي‌ كاشي‌ تكسرام‌		كترامح
2019-04-28 15:35:04 : IRO1CHML0001	معدني‌وصنعتي‌چادرملو		كچاد
2019-04-28 15:35:04 : IRR1CHML0101	ح . معدني‌وصنعتي‌چادرملو		كچادح
2019-04-28 15:35:04 : IRO1CHIR0001	چيني‌ ايران		كچيني
2019-04-28 15:35:04 : IRR1CHIR0101	ح . چيني‌ ايران		كچينيح
2019-04-28 15:35:04 : IRO1KHFZ0001	كاشي‌ وسراميك‌ حافظ‌		كحافظ
2019-04-28 15:35:04 : IRR1KHFZ0101	ح . كاشي‌ وسراميك‌ حافظ‌		كحافظح
2019-04-28 15:35:04 : IRO1KCHI0001	صنايع‌خاك‌چيني‌ايران‌		كخاك
2019-04-28 15:35:04 : IRR1KCHI0101	ح . صنايع‌خاك‌چيني‌ايران‌		كخاكح
2019-04-28 15:35:04 : IRO1DMVN0001	معدني‌ دماوند		كدما
2019-04-28 15:35:04 : IRR1DMVN0101	ح . معدني‌ دماوند		كدماح
2019-04-28 15:35:04 : IRO1TSRZ0001	كارخانجات‌توليدي‌شيشه‌رازي‌		كرازي
2019-04-28 15:35:04 : IRR1TSRZ0101	ح . ‌توليدي‌شيشه‌رازي‌		كرازيح
2019-04-28 15:35:04 : IRO1PKER0001	صنايع پتروشيمي كرمانشاه		كرماشا
2019-04-28 15:35:04 : IRR1PKER0101	ح. صنايع پتروشيمي كرمانشاه		كرماشاح
2019-04-28 15:35:04 : IRO1ROOI0001	توسعه‌ معادن‌ روي‌ ايران‌		كروي
2019-04-28 15:35:04 : IRR1ROOI0101	ح . توسعه‌ معادن‌ روي‌ ايران‌		كرويح
2019-04-28 15:35:04 : IRO1SISH0001	سايپاشيشه‌		كساپا
2019-04-28 15:35:04 : IRR1SISH0101	ح . سايپاشيشه‌		كساپاح
2019-04-28 15:35:04 : IRO1SINA0001	صنايع‌ كاشي‌ و سراميك‌ سينا		كساوه
2019-04-28 15:35:04 : IRR1SINA0101	ح . صنايع‌ كاشي‌ وسراميك‌ سينا		كساوهح
2019-04-28 15:35:04 : IRO1ARDK0001	سراميك‌هاي‌صنعتي‌اردكان‌		كسرا
2019-04-28 15:35:04 : IRR1ARDK0101	ح . سراميك‌هاي‌صنعتي‌اردكان‌		كسراح
2019-04-28 15:35:04 : IRO1PSER0001	پارس‌ سرام‌		كسرام
2019-04-28 15:35:04 : IRR1PSER0101	ح . پارس‌ سرام‌		كسرامح
2019-04-28 15:35:04 : IRO1KSAD0001	كاشي‌ سعدي‌		كسعدي
2019-04-28 15:35:04 : IRR1KSAD0101	ح . كاشي‌ سعدي‌		كسعديح
2019-04-28 15:35:04 : IRO1TBAS0001	ذغال‌سنگ‌ نگين‌ ط‌بس‌		كطبس
2019-04-28 15:35:04 : IRR1TBAS0101	ح . ذغال‌سنگ‌ نگين‌ ط‌بس‌		كطبسح
2019-04-28 15:35:04 : IRO1NSPS0001	فرآورده‌هاي‌ نسوز پارس‌		كفپارس
2019-04-28 15:35:04 : IRR1NSPS0101	ح . فرآورده‌هاي‌ نسوز پارس‌		كفپارسح
2019-04-28 15:35:04 : IRO1NASI0001	فراورده‌ هاي‌ نسوزايران‌		كفرا
2019-04-28 15:35:04 : IRR1NASI0101	ح . فراورده‌ هاي‌ نسوزايران‌		كفراح
2019-04-28 15:35:04 : IRO1SHQZ0001	شيشه‌ قزوين‌		كقزوي
2019-04-28 15:35:04 : IRR1SHQZ0101	ح . شيشه‌ قزوين‌		كقزويح
2019-04-28 15:35:04 : IRO1SGAZ0001	شيشه‌ و گاز		كگاز
2019-04-28 15:35:04 : IRR1SGAZ0101	ح . شيشه‌ و گاز		كگازح
2019-04-28 15:35:04 : IRO1GOLG0001	معدني و صنعتي گل گهر		كگل
2019-04-28 15:35:04 : IRR1GOLG0101	ح . معدني و صنعتي گل گهر		كگلح
2019-04-28 15:35:04 : IRO1ALVN0001	كاشي‌ الوند		كلوند
2019-04-28 15:35:04 : IRR1ALVN0101	ح . كاشي‌ الوند		كلوندح
2019-04-28 15:35:04 : IRO1TAMI0001	تامين‌ ماسه‌ ريخته‌گري‌		كماسه
2019-04-28 15:35:04 : IRR1TAMI0101	ح . تامين‌ ماسه‌ ريخته‌گري‌		كماسهح
2019-04-28 15:35:04 : IRO1MNGZ0001	معادن‌منگنزايران‌		كمنگنز
2019-04-28 15:35:04 : IRR1MNGZ0101	ح . معادن‌منگنزايران‌		كمنگنزح
2019-04-28 15:35:04 : IRO1KNRZ0001	توسعه معدني و صنعتي صبانور		كنور
2019-04-28 15:35:04 : IRR1KNRZ0101	ح توسعه معدني و صنعتي صبانور		كنورح
2019-04-28 15:35:04 : IRO1NILO0001	كاشي‌ نيلو		كنيلو
2019-04-28 15:35:04 : IRR1NILO0101	ح . كاشي‌ نيلو		كنيلوح
2019-04-28 15:35:04 : IRO1BHSM0001	توليدي‌گرانيت‌بهسرام‌		كهرام
2019-04-28 15:35:04 : IRR1BHSM0101	ح . توليدي‌گرانيت‌بهسرام‌		كهرامح
2019-04-28 15:35:04 : IRO1SHMD0001	شيشه‌ همدان‌		كهمدا
2019-04-28 15:35:04 : IRR1SHMD0101	ح . شيشه‌ همدان‌		كهمداح
2019-04-28 15:35:04 : IRO1VARZ0001	ورزيران‌		كورز
2019-04-28 15:35:04 : IRR1VARZ0101	ح . ورزيران‌		كورزح
2019-04-28 15:35:04 : IRO1ASAL0001	آبسال‌		لابسا
2019-04-28 15:35:04 : IRR1ASAL0101	ح . آبسال‌		لابساح
2019-04-28 15:35:04 : IRO1AZMA0001	آزمايش‌		لازما
2019-04-28 15:35:04 : IRR1AZMA0101	ح . آزمايش‌		لازماح
2019-04-28 15:35:04 : IRO1TBHM0001	توليدي‌ بهمن‌		لبهمن
2019-04-28 15:35:04 : IRR1TBHM0101	ح . توليدي‌ بهمن‌		لبهمنح
2019-04-28 15:35:04 : IRO1BOTA0001	گروه‌صنعتي‌بوتان‌		لبوتان
2019-04-28 15:35:04 : IRR1BOTA0101	ح . گروه‌صنعتي‌بوتان‌		لبوتانح
2019-04-28 15:35:04 : IRO1PELC0001	پارس‌ الكتريك‌		لپارس
2019-04-28 15:35:04 : IRR1PELC0101	ح . پارس‌ الكتريك‌		لپارسح
2019-04-28 15:35:04 : IRO1IRPO0001	ايران‌ پويا		لپويا
2019-04-28 15:35:04 : IRR1IRPO0101	ح . ايران‌ پويا		لپوياح
2019-04-28 15:35:04 : IRO1PYAM0001	كارخانجات‌ صنعتي‌ پيام‌		لپيام
2019-04-28 15:35:04 : IRR1PYAM0101	ح . كارخانجات‌ صنعتي‌ پيام‌		لپيامح
2019-04-28 15:35:04 : IRO1JJNM0001	توليدي‌ جام‌ جهان‌ نما		لجام
2019-04-28 15:35:04 : IRR1JJNM0101	ح . توليدي‌ جام‌ جهان‌ نما		لجامح
2019-04-28 15:35:04 : IRO1LKPS0001	لوازم‌ خانگي‌ پارس‌		لخانه
2019-04-28 15:35:04 : IRR1LKPS0101	ح . لوازم‌ خانگي‌ پارس‌		لخانهح
2019-04-28 15:35:04 : IRO1KHAZ0001	پارس‌ خزر		لخزر
2019-04-28 15:35:04 : IRR1KHAZ0101	ح . پارس‌ خزر		لخزرح
2019-04-28 15:35:04 : IRO1SRMA0001	سرما آفرين‌		لسرما
2019-04-28 15:35:04 : IRR1SRMA0101	ح . سرما آفرين‌		لسرماح
2019-04-28 15:35:04 : IRO1KMOA0001	كارخانجات‌مخابراتي‌ايران‌		لكما
2019-04-28 15:35:04 : IRR1KMOA0101	ح . كارخانجات‌مخابراتي‌ايران‌		لكماح
2019-04-28 15:35:04 : IRO1SMRI0001	صنايع‌مخابراتي‌راه‌دورايران‌		لمخابر
2019-04-28 15:35:04 : IRR1SMRI0101	ح . ‌مخابراتي‌راه‌دورايران‌		لمخابرح
2019-04-28 15:35:04 : IRO1LTOS0001	تامين سرمايه لوتوس پارسيان		لوتوس
2019-04-28 15:35:04 : IRO1BVMA0001	بيمه ما		ما
2019-04-28 15:35:04 : IRR1BVMA0101	ح . بيمه ما		ماح
2019-04-28 15:35:04 : IRO1MOBN0001	پتروشيمي مبين		مبين
2019-04-28 15:35:04 : IRO1DADE0001	داده‌پردازي‌ايران‌		مداران
2019-04-28 15:35:04 : IRR1DADE0101	ح . داده‌پردازي‌ايران‌		مدارانح
2019-04-28 15:35:04 : IRO1IAGM0001	ايران‌ارقام‌		مرقام
2019-04-28 15:35:04 : IRR1IAGM0101	ح . ايران‌ارقام‌		مرقامح
2019-04-28 15:35:04 : IRO1BMEL0001	بيمه ملت		ملت
2019-04-28 15:35:04 : IRR1BMEL0101	ح. بيمه ملت		ملتح
2019-04-28 15:35:04 : IRO1BROJ0001	نساجي‌ بروجرد		نبروج
2019-04-28 15:35:04 : IRR1BROJ0101	ح . نساجي‌ بروجرد		نبروجح
2019-04-28 15:35:04 : IRO1NBRS0001	نهادهاي مالي بورس اوراق بهادار		نبورس
2019-04-28 15:35:04 : IRO1PTOS0001	پشم‌ بافي‌ توس‌		نتوس
2019-04-28 15:35:04 : IRR1PTOS0101	ح . پشم‌ بافي‌ توس‌		نتوسح
2019-04-28 15:35:04 : IRO1NKLA0001	نهادهاي مالي بورس كالاي ايران		نكالا
2019-04-28 15:35:04 : IRO1MRIN0001	ايران‌ مرينوس‌		نمرينو
2019-04-28 15:35:04 : IRR1MRIN0101	ح . ايران‌ مرينوس‌		نمرينوح
2019-04-28 15:35:04 : IRO1NORI0001	پتروشيمي نوري		نوري
2019-04-28 15:35:04 : IRO1HWEB0001	داده گسترعصرنوين-هاي وب		هاي وب
2019-04-28 15:35:04 : IRO1HMRZ0001	شركت ارتباطات سيار ايران		همراه
2019-04-28 15:35:04 : IRR1HMRZ0101	ح . شركت ارتباطات سيار ايران		همراهح
2019-04-28 15:35:04 : IRO1TAZB0001	سرمايه‌گذاري‌توسعه‌آذربايجان‌		وآذر
2019-04-28 15:35:04 : IRR1TAZB0101	ح . ‌توسعه‌آذربايجان‌		وآذرح
2019-04-28 15:35:04 : IRO1KARA0001	سرمايه‌گذاري‌كارآفرين‌(هلدينگ‌		وآردل
2019-04-28 15:35:04 : IRR1KARA0101	ح . ‌كارآفرين‌(هلدينگ‌		وآردلح
2019-04-28 15:35:04 : IRO1ATDM0001	سرمايه‌ گذاري‌ آتيه‌ دماوند		واتي
2019-04-28 15:35:04 : IRR1ATDM0101	ح . سرمايه‌ گذاري‌آتيه‌ دماوند		واتيح
2019-04-28 15:35:04 : IRO1IDOC0001	سرمايه گذاري اعتبار ايران		واعتبار
2019-04-28 15:35:04 : IRR1IDOC0101	ح.سرمايه گذاري اعتبار ايران		واعتبارح
2019-04-28 15:35:04 : IRO1ALBZ0001	سرمايه‌ گذاري‌ البرز(هلدينگ‌		والبر
2019-04-28 15:35:04 : IRR1ALBZ0101	ح . سرمايه گذاري‌البرز(هلدينگ‌		والبرح
2019-04-28 15:35:04 : IRO1OIMC0001	گروه مديريت سرمايه گذاري اميد		واميد
2019-04-28 15:35:04 : IRR1OIMC0101	ح.گروه مديريت سرمايه گذار اميد		واميدح
2019-04-28 15:35:04 : IRO1BANS0001	بانك انصار		وانصار
2019-04-28 15:35:04 : IRR1BANS0101	ح.بانك انصار		وانصارح
2019-04-28 15:35:04 : IRO1LIRZ0001	ليزينگ ايرانيان		وايران
2019-04-28 15:35:04 : IRO1BANK0001	سرمايه گذاري گروه توسعه ملي		وبانك
2019-04-28 15:35:04 : IRR1BANK0101	ح. سرمايه گذاري گروه توسعه ملي		وبانكح
2019-04-28 15:35:04 : IRO1TSBE0001	توسعه‌ صنايع‌ بهشهر(هلدينگ		وبشهر
2019-04-28 15:35:04 : IRR1TSBE0101	ح . صنايع‌ بهشهر(هلدينگ		وبشهرح
2019-04-28 15:35:04 : IRO1BSDR0001	بانك صادرات ايران		وبصادر
2019-04-28 15:35:04 : IRO1BMLT0001	بانك ملت		وبملت
2019-04-28 15:35:04 : IRR1BMLT0101	ح . بانك ملت		وبملتح
2019-04-28 15:35:04 : IRO1SBAH0001	سرمايه‌گذاري‌بهمن‌		وبهمن
2019-04-28 15:35:04 : IRR1SBAH0101	ح . سرمايه‌گذاري‌بهمن‌		وبهمنح
2019-04-28 15:35:04 : IRO1BALI0001	سرمايه‌گذاري‌بوعلي‌		وبوعلي
2019-04-28 15:35:04 : IRR1BALI0101	ح . سرمايه‌گذاري‌بوعلي‌		وبوعليح
2019-04-28 15:35:04 : IRO1BIME0001	سرمايه‌ گذاري‌ صنعت‌ بيمه‌		وبيمه
2019-04-28 15:35:04 : IRR1BIME0101	ح . سرمايه‌ گذاري‌ صنعت‌ بيمه‌		وبيمهح
2019-04-28 15:35:04 : IRO1BPAR0001	بانك‌پارسيان‌		وپارس
2019-04-28 15:35:04 : IRR1BPAR0101	ح . بانك‌پارسيان‌		وپارسح
2019-04-28 15:35:04 : IRO1BPAS0001	بانك پاسارگاد		وپاسار
2019-04-28 15:35:04 : IRR1BPAS0101	ح.بانك پاسارگاد		وپاسارح
2019-04-28 15:35:04 : IRO1PETR0001	سرمايه‌گذاري صنايع پتروشيمي‌		وپترو
2019-04-28 15:35:04 : IRR1PETR0101	ح . سرمايه‌ گذاري‌ پتروشيمي‌		وپتروح
2019-04-28 15:35:04 : IRO1DARO0001	داروپخش‌ (هلدينگ‌		وپخش
2019-04-28 15:35:04 : IRR1DARO0101	ح . داروپخش‌ (هلدينگ‌		وپخشح
2019-04-28 15:35:04 : IRO1BPST0001	پست بانك ايران		وپست
2019-04-28 15:35:04 : IRO1BTEJ0001	بانك تجارت		وتجارت
2019-04-28 15:35:04 : IRR1BTEJ0101	ح . بانك تجارت		وتجارتح
2019-04-28 15:35:04 : IRO1TGOS0001	توسعه‌شهري‌توس‌گستر		وتوس
2019-04-28 15:35:04 : IRR1TGOS0101	ح . توسعه‌شهري‌توس‌گستر		وتوسح
2019-04-28 15:35:04 : IRO1TMEL0001	سرمايه‌گذاري‌توسعه‌ملي‌		وتوسم
2019-04-28 15:35:04 : IRR1TMEL0101	ح . سرمايه‌گذاري‌توسعه‌ملي‌		وتوسمح
2019-04-28 15:35:04 : IRO1TSHE0001	سرمايه‌ گذاري‌ پارس‌ توشه‌		وتوشه
2019-04-28 15:35:04 : IRR1TSHE0101	ح . سرمايه‌ گذاري‌ پارس‌ توشه‌		وتوشهح
2019-04-28 15:35:04 : IRO1TOSA0001	گروه س توسعه صنعتي ايران		وتوصا
2019-04-28 15:35:04 : IRR1TOSA0101	ح. سرمايه‌گذاري توسعه‌صنعتي		وتوصاح
2019-04-28 15:35:04 : IRO1TOKA0001	سرمايه‌گذاري‌توكافولاد(هلدينگ		وتوكا
2019-04-28 15:35:04 : IRR1TOKA0101	ح . ‌توكافولاد(هلدينگ‌		وتوكاح
2019-04-28 15:35:04 : IRO1IKHR0001	سرمايه گذاري خوارزمي		وخارزم
2019-04-28 15:35:04 : IRR1IKHR0101	ح.سرمايه گذاري خوارزمي		وخارزمح
2019-04-28 15:35:04 : IRO1BKHZ0001	بانك خاورميانه		وخاور
2019-04-28 15:35:04 : IRR1BKHZ0101	ح . بانك خاورميانه		وخاورح
2019-04-28 15:35:04 : IRO1RENA0001	سرمايه‌گذاري‌ رنا(هلدينگ‌		ورنا
2019-04-28 15:35:04 : IRR1RENA0101	ح . سرمايه‌گذاري‌ رنا(هلدينگ‌		ورناح
2019-04-28 15:35:04 : IRO1SSAP0001	سرمايه‌گذاري‌ سايپا		وساپا
2019-04-28 15:35:04 : IRR1SSAP0101	ح . سرمايه‌گذاري‌ سايپا		وساپاح
2019-04-28 15:35:04 : IRO1SAKH0001	سرمايه‌ گذاري‌ ساختمان‌ايران‌		وساخت
2019-04-28 15:35:04 : IRR1SAKH0101	ح . سرمايه‌ گذاري‌ ساختمان‌		وساختح
2019-04-28 15:35:04 : IRO1SPAH0001	سرمايه‌گذاري‌ سپه‌		وسپه
2019-04-28 15:35:04 : IRR1SPAH0101	ح . سرمايه‌گذاري‌ سپه‌		وسپهح
2019-04-28 15:35:04 : IRO1SDID0001	گروه‌صنعتي‌سديد(هلدينگ‌		وسديد
2019-04-28 15:35:04 : IRR1SDID0101	ح . گروه‌صنعتي‌سديد(هلدينگ‌		وسديدح
2019-04-28 15:35:04 : IRO1SKBV0001	سرمايه گذاري نور كوثر ايرانيان		وسكاب
2019-04-28 15:35:04 : IRR1SKBV0101	ح.سرمايه گذاري نوركوثرايرانيان		وسكابح
2019-04-28 15:35:04 : IRO1VSIN0001	بانك سينا		وسينا
2019-04-28 15:35:04 : IRR1VSIN0101	ح . بانك سينا		وسيناح
2019-04-28 15:35:04 : IRO1GBEH0001	گروه‌صنايع‌بهشهرايران‌		وصنا
2019-04-28 15:35:04 : IRR1GBEH0101	ح . ‌گروه‌صنايع‌بهشهرايران‌		وصناح
2019-04-28 15:35:04 : IRO1SAND0001	سرمايه‌گذاري‌صندوق‌بازنشستگي‌		وصندوق
2019-04-28 15:35:04 : IRR1SAND0101	ح.سرمايه گذاري صندوق بازنشستگي		وصندوقح
2019-04-28 15:35:04 : IRO1SNMA0001	سرمايه‌ گذاري‌ صنعت‌ ومعدن‌		وصنعت
2019-04-28 15:35:04 : IRR1SNMA0101	ح . سرمايه‌ گذاري‌صنعت‌ ومعدن‌		وصنعتح
2019-04-28 15:35:04 : IRO1GDIR0001	سرمايه‌گذاري‌غدير(هلدينگ‌		وغدير
2019-04-28 15:35:04 : IRR1GDIR0101	ح . سرمايه‌گذاري‌غدير(هلدينگ‌		وغديرح
2019-04-28 15:35:04 : IRO1KRAF0001	بانك‌ كارآفرين‌		وكار
2019-04-28 15:35:04 : IRR1KRAF0101	ح . بانك‌ كارآفرين‌		وكارح
2019-04-28 15:35:04 : IRO1LPRS0001	ليزينگ پارسيان		ولپارس
2019-04-28 15:35:04 : IRO1RSAP0001	ليزينگ رايان‌ سايپا		ولساپا
2019-04-28 15:35:04 : IRR1RSAP0101	ح . ليزينگ رايان‌ سايپا		ولساپاح
2019-04-28 15:35:04 : IRO1LSMD0001	ليزينگ‌صنعت‌ومعدن‌		ولصنم
2019-04-28 15:35:04 : IRR1LSMD0101	ح . ليزينگ‌صنعت‌ومعدن‌		ولصنمح
2019-04-28 15:35:04 : IRO1LKGH0001	ليزينگ‌خودروغدير		ولغدر
2019-04-28 15:35:04 : IRR1LKGH0101	ح . ليزينگ‌خودروغدير		ولغدرح
2019-04-28 15:35:04 : IRO1VLMT0001	واسپاري ملت		ولملت
2019-04-28 15:35:04 : IRO1LZIN0001	ليزينگ‌ايران‌		وليز
2019-04-28 15:35:04 : IRR1LZIN0101	ح . ليزينگ‌ايران‌		وليزح
2019-04-28 15:35:04 : IRO1MADN0001	توسعه‌معادن‌وفلزات‌		ومعادن
2019-04-28 15:35:04 : IRR1MADN0101	ح . توسعه‌معادن‌وفلزات‌		ومعادنح
2019-04-28 15:35:04 : IRO1MOIN0001	سرمايه گذاري توسعه معين ملت		ومعين
2019-04-28 15:35:04 : IRO1MELT0001	سرمايه‌گذاري‌ملت‌		وملت
2019-04-28 15:35:04 : IRR1MELT0101	ح . سرمايه‌گذاري‌ملت‌		وملتح
2019-04-28 15:35:04 : IRO1GMEL0001	گروه‌ صنعتي‌ ملي‌ (هلدينگ‌		وملي
2019-04-28 15:35:04 : IRR1GMEL0101	ح . گروه‌ صنعتي‌ ملي‌ (هلدينگ‌		ومليح
2019-04-28 15:35:04 : IRO1NAFT0001	سرمايه‌گذاري‌ صنعت‌ نفت‌		ونفت
2019-04-28 15:35:04 : IRR1NAFT0101	ح . سرمايه‌گذاري‌ صنعت‌ نفت‌		ونفتح
2019-04-28 15:35:04 : IRO1NOVN0001	بانك‌اقتصادنوين‌		ونوين
2019-04-28 15:35:04 : IRR1NOVN0101	ح . بانك‌اقتصادنوين‌		ونوينح
2019-04-28 15:35:04 : IRO1SNRO0001	سرمايه‌گذاري‌نيرو		ونيرو
2019-04-28 15:35:04 : IRR1SNRO0101	ح . سرمايه‌گذاري‌نيرو		ونيروح
2019-04-28 15:35:04 : IRO1NIKI0001	سرمايه‌گذاري‌ ملي‌ايران‌		ونيكي
2019-04-28 15:35:04 : IRR1NIKI0101	ح . سرمايه‌گذاري‌ ملي‌ايران‌		ونيكيح
2019-04-28 15:40:52 : کد نماد	
2019-04-28 15:40:52 : IRB5IKCO8751	اوراق مشاركت ايران‌ خودرو
2019-04-28 15:40:52 : IRO1APPE0001	آسان پرداخت پرشين
2019-04-28 15:40:52 : IRO1ASIA0001	بيمه آسيا
2019-04-28 15:40:52 : IRO1CONT0001	كنتورسازي‌ايران‌
2019-04-28 15:40:52 : IRR1CONT0101	ح . كنتورسازي‌ايران‌
2019-04-28 15:40:52 : IRO1MKBT0001	مخابرات ايران
2019-04-28 15:40:52 : IRR1MKBT0101	ح . مخابرات ايران
2019-04-28 15:40:52 : IRO1OFOG0001	فروشگاههاي زنجيره اي افق كوروش
2019-04-28 15:40:52 : IRO1BKLA0001	كارگزاران بورس كالاي ايران
2019-04-28 15:40:52 : IRO1BALB0001	بيمه البرز
2019-04-28 15:40:52 : IRR1BALB0101	ح.بيمه البرز
2019-04-28 15:40:52 : IRO1OMID0001	تامين سرمايه اميد
2019-04-28 15:40:52 : IRR1OMID0101	ح . تامين سرمايه اميد
2019-04-28 15:40:52 : IRO1BAKH0001	كابل‌ باختر
2019-04-28 15:40:52 : IRR1BAKH0101	ح . كابل‌ باختر
2019-04-28 15:40:52 : IRO1KALZ0001	كابل‌ البرز
2019-04-28 15:40:52 : IRR1KALZ0101	ح . كابل‌ البرز
2019-04-28 15:40:52 : IRO1KBLI0001	كابلسازي‌ايران‌
2019-04-28 15:40:52 : IRR1KBLI0101	ح . كابلسازي‌ايران‌
2019-04-28 15:40:52 : IRO1TRNS0001	ايران‌ ترانسفو
2019-04-28 15:40:52 : IRR1TRNS0101	ح . ايران‌ ترانسفو
2019-04-28 15:40:52 : IRO1KTAK0001	كابلسازي‌ تك‌
2019-04-28 15:40:52 : IRR1KTAK0101	ح . كابلسازي‌ تك‌
2019-04-28 15:40:52 : IRO1JHRM0001	توسعه مولد نيروگاهي جهرم
2019-04-28 15:40:52 : IRO1TTZC0001	ترانسفورماتور توزيع زنگان
2019-04-28 15:40:52 : IRO1BRKT0001	گروه دارويي بركت
2019-04-28 15:40:52 : IRR1BRKT0101	ح . گروه دارويي بركت
2019-04-28 15:40:52 : IRO1SWIC0001	پارس‌سويچ‌
2019-04-28 15:40:52 : IRR1SWIC0101	ح . پارس‌سويچ‌
2019-04-28 15:40:52 : IRO1LAPS0001	لامپ‌ پارس‌ شهاب‌
2019-04-28 15:40:52 : IRR1LAPS0101	ح . لامپ‌ پارس‌ شهاب‌
2019-04-28 15:40:52 : IRO1BFJR0001	پتروشيمي فجر
2019-04-28 15:40:52 : IRO1JOSH0001	صنايع‌جوشكاب‌يزد
2019-04-28 15:40:52 : IRR1JOSH0101	ح . صنايع‌جوشكاب‌يزد
2019-04-28 15:40:52 : IRO1KGND0001	كارخانجات توليدي شهيد قندي
2019-04-28 15:40:52 : IRR1KGND0101	ح.كارخانجات توليدي شهيد قندي
2019-04-28 15:40:52 : IRO1MOTJ0001	موتوژن‌
2019-04-28 15:40:52 : IRR1MOTJ0101	ح . موتوژن‌
2019-04-28 15:40:52 : IRO1NIRO0001	نيروترانس‌
2019-04-28 15:40:52 : IRR1NIRO0101	ح . نيروترانس‌
2019-04-28 15:40:52 : IRO1BORS0001	بورس اوراق بهادار تهران
2019-04-28 15:40:52 : IRO1ARTA0001	مجتمع‌صنعتي‌آرتاويل‌تاير
2019-04-28 15:40:52 : IRR1ARTA0101	ح . مجتمع‌صنعتي‌آرتاويل‌تاير
2019-04-28 15:40:52 : IRO1PARS0001	پتروشيمي پارس
2019-04-28 15:40:52 : IRO1PASN0001	گسترش نفت و گاز پارسيان
2019-04-28 15:40:52 : IRR1PASN0101	ح. گسترش نفت و گاز پارسيان
2019-04-28 15:40:52 : IRO1IPAR0001	بيمه پارسيان
2019-04-28 15:40:52 : IRR1IPAR0101	ح.بيمه پارسيان
2019-04-28 15:40:52 : IRO1YASA0001	ايران‌ياساتايرورابر
2019-04-28 15:40:52 : IRR1YASA0101	ح . ايران‌ياساتايرورابر
2019-04-28 15:40:52 : IRO1PASH0001	گروه صنعتي پاكشو
2019-04-28 15:40:52 : IRR1PASH0101	ح . گروه صنعتي پاكشو
2019-04-28 15:40:52 : IRO1TAIR0001	ايران‌ تاير
2019-04-28 15:40:52 : IRR1TAIR0101	ح . ايران‌ تاير
2019-04-28 15:40:52 : IRO1IPTR0001	گروه پتروشيمي س. ايرانيان
2019-04-28 15:40:52 : IRO1DRKH0001	درخشان‌ تهران‌
2019-04-28 15:40:52 : IRR1DRKH0101	ح . درخشان‌ تهران‌
2019-04-28 15:40:52 : IRO1DENA0001	توليدي‌لاستيك‌دنا
2019-04-28 15:40:52 : IRR1DENA0101	ح . توليدي‌لاستيك‌دنا
2019-04-28 15:40:52 : IRO1PRKT0001	به پرداخت ملت
2019-04-28 15:40:52 : IRR1PRKT0101	ح . به پرداخت ملت
2019-04-28 15:40:52 : IRO1AYEG0001	سرمايه گذاري پرديس
2019-04-28 15:40:52 : IRR1AYEG0101	ح . سرمايه گذاري پرديس
2019-04-28 15:40:52 : IRO1PERS0001	توسعه صنعت نفت و گاز پرشيا
2019-04-28 15:40:52 : IRO1SHND0001	صنايع‌ لاستيكي‌ سهند
2019-04-28 15:40:52 : IRR1SHND0101	ح . صنايع‌ لاستيكي‌ سهند
2019-04-28 15:40:52 : IRO1SHIN0001	پلاستيك‌ شاهين‌
2019-04-28 15:40:52 : IRR1SHIN0101	ح . پلاستيك‌ شاهين‌
2019-04-28 15:40:52 : IRO1BARZ0001	گروه‌ صنعتي‌ بارز
2019-04-28 15:40:52 : IRR1BARZ0101	ح . گروه‌ صنعتي‌ بارز
2019-04-28 15:40:52 : IRO1KVRZ0001	كوير تاير
2019-04-28 15:40:52 : IRR1KVRZ0101	ح. كوير تاير
2019-04-28 15:40:52 : IRO1LALZ0001	لاستيك‌البرز
2019-04-28 15:40:52 : IRR1LALZ0101	ح . لاستيك‌البرز
2019-04-28 15:40:52 : IRO1PLST0001	پلاستيران‌
2019-04-28 15:40:52 : IRR1PLST0101	ح . پلاستيران‌
2019-04-28 15:40:52 : IRO1PLKK0001	پلاسكوكار
2019-04-28 15:40:52 : IRR1PLKK0101	ح . پلاسكوكار
2019-04-28 15:40:52 : IRO1GAZL0001	گازلوله‌
2019-04-28 15:40:52 : IRR1GAZL0101	ح . گازلوله‌
2019-04-28 15:40:52 : IRO1LYZD0001	مجتمع‌صنايع‌لاستيك‌يزد
2019-04-28 15:40:52 : IRO1PTAP0001	س. نفت و گاز و پتروشيمي تأمين
2019-04-28 15:40:52 : IRR1PTAP0101	ح . س.نفت وگازوپتروشيمي تأمين
2019-04-28 15:40:52 : IRO1TRIR0001	تراكتورسازي‌ايران‌
2019-04-28 15:40:52 : IRR1TRIR0101	ح . تراكتورسازي‌ايران‌
2019-04-28 15:40:52 : IRO1HPKO0001	توليدتجهيزات‌سنگين‌هپكو
2019-04-28 15:40:52 : IRR1HPKO0101	ح . توليدتجهيزات‌سنگين‌هپكو
